Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Cisplatin,1496,SCC-25,910701,HNSC,aero_digestive_tract,head_and_neck,2.5411067529684113,.95550981950981484,3,.028130450409814371,.51007764289789759,GDSC1
Cisplatin,1496,SCC-4,910904,HNSC,aero_digestive_tract,head_and_neck,1.9315701390607469,.91628804908045547,3,.04750551654877179,.012529701198520935,GDSC1
Cisplatin,1496,SCC-15,910911,HNSC,aero_digestive_tract,head_and_neck,.60930745013436893,.79653303911101903,3,.047880281089106635,-1.066796896,GDSC1
Cisplatin,1496,CAL-27,910916,HNSC,aero_digestive_tract,head_and_neck,-0.104573473,.73950793853201946,3,.019649612759249781,-1.649518222,GDSC1
Cisplatin,1496,DOK,910936,HNSC,aero_digestive_tract,head_and_neck,2.1262891238722323,.89868488011313197,3,.041598236594252561,.17147344287409966,GDSC1
Cisplatin,1496,HO-1-N-1,924111,HNSC,aero_digestive_tract,head_and_neck,3.2878441969645378,.98625524472705584,3,.048429442975376706,1.1196188415278598,GDSC1
Cisplatin,1496,BICR22,1240121,HNSC,aero_digestive_tract,head_and_neck,.5780266748095928,.80927644731466164,3,.070703079240392555,-1.092330531,GDSC1
Cisplatin,1496,BICR78,1240122,HNSC,aero_digestive_tract,head_and_neck,.9218696252164682,.83763592823953426,3,.080976744496283407,-0.811661005,GDSC1
Cisplatin,1496,JHU-011,1240161,HNSC,aero_digestive_tract,head_and_neck,.22717691846176905,.78758283008167607,3,.13488950195191093,-1.378719519,GDSC1
Cisplatin,1496,JHU-022,1240162,HNSC,aero_digestive_tract,head_and_neck,1.3430891882121718,.86358900438796149,3,.037181834480568325,-0.467831083,GDSC1
Cisplatin,1496,OSC-20,1240196,HNSC,aero_digestive_tract,head_and_neck,1.3758133687440923,.87749619966819314,3,.032189805901869879,-0.441119236,GDSC1
Cisplatin,1496,PCI-15A,1240204,HNSC,aero_digestive_tract,head_and_neck,.49377923570629384,.81752055969266801,3,.04600202519850817,-1.161099394,GDSC1
Cisplatin,1496,PCI-38,1240205,HNSC,aero_digestive_tract,head_and_neck,1.6824009950232082,.91635263829732172,3,.057407796651624224,-0.190860205,GDSC1
